episode_id,title_en,title_jp,air_date,duration,season,episode_num,plot,main_gadget,gadget_category,theme,is_filler,director,writer,viewership_rating,is_remake,moral_lesson
S01E32,The Ghost Cape,おばけのカーテン,1979-11-05,22,1,32,Nobita becomes invisible but feels isolated.,Ghost Cape,Invisibility,Loneliness,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.5,FALSE,Being seen matters.
S01E33,The Time Copying Machine,タイムコピー,1979-11-12,22,1,33,"Nobita duplicates himself, leading to identity confusion.",Time Copier,Cloning,Identity,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,12.1,FALSE,You're unique.
S01E34,The Super Glue,超ねん土,1979-11-19,22,1,34,"Nobita uses unbreakable glue, trapping himself.",Super Glue,Adhesion,Problem-Solving,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,10.8,FALSE,Think before you act.
S01E35,The Memory Bread,アンキパン,1979-11-26,22,1,35,Nobita eats bread to memorize textbooks but forgets after digestion.,Memory Bread,Knowledge Retention,Learning,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,13,FALSE,True knowledge takes time.
S01E36,The Monster Capsule,モンスターキャップ,1979-12-03,22,1,36,Nobita grows monster plants that terrorize the town.,Monster Capsule,Bioengineering,Responsibility,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.4,FALSE,Don't play with nature.
S01E37,The Time Bomb,タイム爆弾,1979-12-10,22,1,37,Nobita pauses time but disrupts daily life.,Time Bomb,Time Freeze,Consequences,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,12.3,FALSE,Time affects everyone.
S01E38,The Robot Schoolbag,ロボットランドセル,1979-12-17,22,1,38,Nobita's schoolbag does homework but makes him lazy.,Robot Bag,Automation,Work Ethic,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.7,FALSE,Do your own work.
S01E39,The Santa Machine,サンタマシン,1979-12-24,22,1,39,Nobita plays Santa but learns giving is harder than it seems.,Santa Machine,Gift Delivery,Generosity,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,12.8,FALSE,Giving requires thought.
S01E40,The New Year's Eve Time Machine,大みそかタイムマシン,1979-12-31,22,1,40,Nobita tries to relive New Year's Eve repeatedly.,Time Machine,Time Loop,Appreciation,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,13.5,FALSE,Cherish moments as they come.
S01E41,The Opposite Mirror,反対ぞうきん,1980-01-07,22,1,41,"Nobita's actions are reversed, causing confusion.",Opposite Mirror,Reversal,Intentions,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.9,FALSE,Actions have direct consequences.
S01E42,The Lottery Ticket Cutter,宝くじが当たる,1980-01-14,22,1,42,Nobita cheats to win the lottery but loses everything.,Lottery Cutter,Luck Manipulation,Greed,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,10.6,FALSE,Easy money isn't honest money.
S01E43,The Snowman's Gift,雪だるまの贈り物,1980-01-21,22,1,43,Nobita builds a snowman that comes to life.,Life-Giving Snow,Animation,Friendship,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.2,FALSE,Even temporary friends matter.
S01E44,The Lie Detector,うそつきは誰だ,1980-01-28,22,1,44,Nobita uses a lie detector but hurts others' feelings.,Lie Detector,Truth Verification,Tact,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,10.8,FALSE,Truth should be kind.
S01E45,The Super Chef Set,料理ロボット,1980-02-04,22,1,45,"Nobita's robot chef makes food too good, causing dependency.",Chef Robot,Automation,Self-Sufficiency,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,12.1,FALSE,Learn basic skills.
S01E46,The Time Zone Clock,時間よこんにちは,1980-02-11,22,1,46,"Nobita manipulates time zones, disrupting schedules.",Time Zone Clock,Time Adjustment,Coordination,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.4,FALSE,Respect others' time.
S01E47,The Pet Stone,ペットの石,1980-02-18,22,1,47,Nobita adopts a 'pet rock' that becomes a nuisance.,Pet Stone,Animation,Responsibility,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,10.9,FALSE,Pets require care.
S01E48,The Do-It-Yourself Diorama,ジオラマで大冒険,1980-02-25,22,1,48,Nobita enters a miniature world but gets trapped.,Diorama Set,Miniaturization,Perspective,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.7,FALSE,Size changes everything.
S01E49,The Super Lottery,スーパー宝くじ,1980-03-03,22,1,49,Nobita wins a lottery but loses the ticket.,Lottery Ticket,Luck,Responsibility,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,12,FALSE,Keep track of important things.
S01E50,The Endless Storybook,続きが読みたい,1980-03-10,22,1,50,Nobita enters a storybook but can't escape the plot.,Storybook Portal,Fiction Travel,Agency,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,13.2,FALSE,You write your own story.
